number,value,datetime_start,datetime_complete,duration,params_balance_strategy,params_batch_size,params_classifier_dropout,params_classifier_hidden,params_classifier_layers,params_cnn_base_channels,params_cnn_layers,params_discriminator_hidden,params_discriminator_layers,params_domain_loss_weight,params_domain_weight_schedule,params_focal_gamma,params_gamma_grl,params_learning_rate,params_lr_scheduler,params_lstm_bidirectional,params_lstm_dropout,params_lstm_hidden,params_lstm_layers,params_use_attention,params_use_residual,params_warmup_epochs,params_weight_decay,state
63,-0.4700854700854701,2026-01-07 13:32:41.057727,2026-01-07 13:33:07.957517,0 days 00:00:26.899790,class_weights,64,0.4773666249367052,32,3,48,3,64,1,0.407477593113082,linear,3.4895844321652234,7.541889524080731,0.00046036013086272576,step,True,0.17521493833706825,256,2,True,False,12,5.1339155282467424e-05,COMPLETE
64,-0.4871794871794872,2026-01-07 13:33:07.958699,2026-01-07 13:33:36.340091,0 days 00:00:28.381392,class_weights,64,0.4697154636131556,32,3,48,3,64,1,0.42281495726771756,linear,3.391946176687957,7.135446575860469,0.00042242519114620144,step,True,0.22754793722896471,256,2,True,False,10,8.787017160867026e-05,COMPLETE
65,-0.5555555555555556,2026-01-07 13:33:36.341032,2026-01-07 13:34:02.881136,0 days 00:00:26.540104,class_weights,64,0.3893252923899392,32,3,48,3,64,1,0.31000976117851237,linear,3.3405986875138924,7.715554037650868,0.0005004698998522335,step,True,0.21197042139848943,256,2,True,False,11,0.00017136435421736783,COMPLETE
66,-0.46153846153846156,2026-01-07 13:34:02.882180,2026-01-07 13:34:49.829476,0 days 00:00:46.947296,class_weights,32,0.41648635644040866,32,3,48,3,64,1,0.35967902747385183,exponential,3.1611992017602066,6.917046236524793,0.00023645148127867337,step,True,0.2703507395364201,256,2,False,False,10,0.00012020216059959811,COMPLETE
67,-0.5299145299145299,2026-01-07 13:34:49.830415,2026-01-07 13:35:59.405501,0 days 00:01:09.575086,class_weights,32,0.4068380366360639,32,3,48,4,64,1,0.38861419831066435,exponential,3.0553738068447545,6.631559201639072,0.00023674283216238912,step,True,0.2731899822520161,192,2,False,True,10,0.00012452114737153094,COMPLETE
68,-0.5470085470085471,2026-01-07 13:35:59.408115,2026-01-07 13:36:59.101875,0 days 00:00:59.693760,class_weights,32,0.3621881706502972,32,3,96,3,64,1,0.3428199045202115,exponential,3.1460945568959446,7.344433894372456,0.00029090427087953785,step,True,0.30503117181554734,256,2,False,False,10,0.00010407716598227492,COMPLETE
69,-0.5384615384615384,2026-01-07 13:36:59.102754,2026-01-07 13:37:38.366643,0 days 00:00:39.263889,class_weights,32,0.4182585142289102,32,3,48,3,64,1,0.4992275793793865,exponential,3.2123414004325612,7.264077182586253,0.00024075480809971416,step,True,0.25700702901902306,128,2,False,False,9,0.0002390954318939837,COMPLETE
70,-0.5555555555555556,2026-01-07 13:37:38.367375,2026-01-07 13:38:13.420674,0 days 00:00:35.053299,class_weights,32,0.450766049762287,32,3,48,3,64,1,0.37323733610312376,exponential,2.9998287053095996,6.9632373063554445,0.0008951636197686146,warmup_cosine,True,0.44358396178422704,256,2,False,False,9,4.330736729504473e-05,COMPLETE
71,-0.6153846153846154,2026-01-07 13:38:13.421764,2026-01-07 13:38:27.926449,0 days 00:00:14.504685,class_weights,64,0.42901594399023546,32,3,48,3,64,1,0.35449505431017686,linear,3.4912176409091487,6.9233733506401505,0.00032829040650192816,step,True,0.23900955628540912,256,2,False,False,11,6.717141222077089e-05,COMPLETE
72,-0.4786324786324786,2026-01-07 13:38:27.927170,2026-01-07 13:39:18.886714,0 days 00:00:50.959544,class_weights,32,0.4435569404014799,32,3,48,3,64,1,0.4254569754380875,exponential,3.274843496546793,6.709535388389588,0.0006843451164101877,step,True,0.1877415075448069,256,2,True,False,11,3.021612172079646e-05,COMPLETE
